Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=1035000: FLASH READ - addr=0x00000027, data=0x01
Time=1045000: CPU READ REQUEST - addr=0x00000024, ready=1
Time=1045000: FLASH READ - addr=0x00000028, data=0x93
Time=1055000: CPU READ REQUEST - addr=0x00000028, ready=1
Time=1055000: FLASH READ - addr=0x00000028, data=0x93
Time=1065000: CPU READ REQUEST - addr=0x00000028, ready=1
Time=1075000: CPU READ REQUEST - addr=0x00000028, ready=0
Time=1085000: CPU READ REQUEST - addr=0x00000028, ready=0
Time=1085000: FLASH READ - addr=0x00000028, data=0x93
Time=1095000: CPU READ REQUEST - addr=0x00000028, ready=0
Time=1095000: FLASH READ - addr=0x00000029, data=0x05
Time=1105000: CPU READ REQUEST - addr=0x00000028, ready=0
Time=1105000: FLASH READ - addr=0x0000002a, data=0x60
Time=1115000: CPU READ REQUEST - addr=0x00000028, ready=0
Time=1115000: FLASH READ - addr=0x0000002b, data=0x09
Time=1125000: CPU READ REQUEST - addr=0x00000028, ready=1
Time=1125000: FLASH READ - addr=0x0000002c, data=0x37
Time=1135000: CPU READ REQUEST - addr=0x0000002c, ready=1
Time=1135000: FLASH READ - addr=0x0000002c, data=0x37
Time=1145000: CPU READ REQUEST - addr=0x0000002c, ready=1
Time=1155000: CPU READ REQUEST - addr=0x0000002c, ready=0
Time=1165000: CPU READ REQUEST - addr=0x0000002c, ready=0
Time=1165000: FLASH READ - addr=0x0000002c, data=0x37
Time=1175000: CPU READ REQUEST - addr=0x0000002c, ready=0
Time=1175000: FLASH READ - addr=0x0000002d, data=0x06
Time=1185000: CPU READ REQUEST - addr=0x0000002c, ready=0
Time=1185000: FLASH READ - addr=0x0000002e, data=0x00
Time=1195000: CPU READ REQUEST - addr=0x0000002c, ready=0
Time=1195000: FLASH READ - addr=0x0000002f, data=0x10
Time=1205000: CPU READ REQUEST - addr=0x0000002c, ready=1
Time=1205000: FLASH READ - addr=0x00000030, data=0x23
Time=1215000: CPU READ REQUEST - addr=0x0000002c, ready=1
Time=1215000: FLASH READ - addr=0x00000030, data=0x23
Time=1225000: CPU READ REQUEST - addr=0x0000002c, ready=1
Time=1285000: WB COMMIT - rd=x9, data=0x00000004
Time=1295000: WB COMMIT - rd=x10, data=0x0000001c
Time=1305000: WB COMMIT - rd=x11, data=0x00000096
Time=1315000: WB COMMIT - rd=x12, data=0x10000000
Time=1325000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1335000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1345000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1345000: FLASH READ - addr=0x00000030, data=0x23
Time=1355000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1355000: FLASH READ - addr=0x00000031, data=0x20
Time=1365000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1365000: FLASH READ - addr=0x00000032, data=0xb6
Time=1375000: CPU READ REQUEST - addr=0x00000030, ready=0
Time=1375000: FLASH READ - addr=0x00000033, data=0x00
Time=1385000: CPU READ REQUEST - addr=0x00000030, ready=1
Time=1385000: FLASH READ - addr=0x00000034, data=0x83
Time=1395000: CPU READ REQUEST - addr=0x00000034, ready=1
Time=1395000: FLASH READ - addr=0x00000034, data=0x83
Time=1405000: CPU READ REQUEST - addr=0x00000034, ready=1
Time=1415000: CPU READ REQUEST - addr=0x00000034, ready=0
Time=1425000: CPU READ REQUEST - addr=0x00000034, ready=0
Time=1425000: FLASH READ - addr=0x00000034, data=0x83
Time=1435000: CPU READ REQUEST - addr=0x00000034, ready=0
Time=1435000: FLASH READ - addr=0x00000035, data=0x26
Time=1445000: CPU READ REQUEST - addr=0x00000034, ready=0
Time=1445000: FLASH READ - addr=0x00000036, data=0x06
Time=1455000: CPU READ REQUEST - addr=0x00000034, ready=0
Time=1455000: FLASH READ - addr=0x00000037, data=0x00
Time=1465000: CPU READ REQUEST - addr=0x00000034, ready=1
Time=1465000: FLASH READ - addr=0x00000038, data=0x13
Time=1475000: CPU READ REQUEST - addr=0x00000038, ready=1
Time=1475000: FLASH READ - addr=0x00000038, data=0x13
Time=1485000: CPU READ REQUEST - addr=0x00000038, ready=1
Time=1495000: CPU READ REQUEST - addr=0x00000038, ready=0
Time=1505000: CPU READ REQUEST - addr=0x00000038, ready=0
Time=1505000: FLASH READ - addr=0x00000038, data=0x13
