Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_pipeline_full.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  4 12:18 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/pipeline_full.fsdb'
*Verdi* : Begin traversing the scope (cpu_pipeline_full_tb), layer (0).
Time=1735000: PC=0x000000b8, inst=0x0000006f
Time=1745000: PC=0x000000b8, inst=0x00000013
Time=1755000: PC=0x000000b8, inst=0x0000006f
Time=1765000: PC=0x000000b8, inst=0x0000006f
Time=1775000: PC=0x000000b8, inst=0x00000013
Time=1785000: PC=0x000000b8, inst=0x0000006f
Time=1795000: PC=0x000000b8, inst=0x0000006f
Time=1805000: PC=0x000000b8, inst=0x00000013
Time=1815000: PC=0x000000b8, inst=0x0000006f
Time=1825000: PC=0x000000b8, inst=0x0000006f
Time=1835000: PC=0x000000b8, inst=0x00000013
Time=1845000: PC=0x000000b8, inst=0x0000006f
Time=1855000: PC=0x000000b8, inst=0x0000006f
Time=1865000: PC=0x000000b8, inst=0x00000013
Time=1875000: PC=0x000000b8, inst=0x0000006f
Time=1885000: PC=0x000000b8, inst=0x0000006f
Time=1895000: PC=0x000000b8, inst=0x00000013
Time=1905000: PC=0x000000b8, inst=0x0000006f
Time=1915000: PC=0x000000b8, inst=0x0000006f
Time=1925000: PC=0x000000b8, inst=0x00000013
Time=1935000: PC=0x000000b8, inst=0x0000006f
Time=1945000: PC=0x000000b8, inst=0x0000006f
Time=1955000: PC=0x000000b8, inst=0x00000013
Time=1965000: PC=0x000000b8, inst=0x0000006f
Time=1975000: PC=0x000000b8, inst=0x0000006f
Time=1985000: PC=0x000000b8, inst=0x00000013
Time=1995000: PC=0x000000b8, inst=0x0000006f
Time=2005000: PC=0x000000b8, inst=0x0000006f
Time=2015000: PC=0x000000b8, inst=0x00000013
Time=2025000: PC=0x000000b8, inst=0x0000006f
Time=2035000: PC=0x000000b8, inst=0x0000006f
Time=2045000: PC=0x000000b8, inst=0x00000013
Time=2055000: PC=0x000000b8, inst=0x0000006f
Time=2065000: PC=0x000000b8, inst=0x0000006f
Time=2075000: PC=0x000000b8, inst=0x00000013
Time=2085000: PC=0x000000b8, inst=0x0000006f
Time=2095000: PC=0x000000b8, inst=0x0000006f
Time=2105000: PC=0x000000b8, inst=0x00000013
Time=2115000: PC=0x000000b8, inst=0x0000006f
Time=2125000: PC=0x000000b8, inst=0x0000006f
Time=2135000: PC=0x000000b8, inst=0x00000013
Time=2145000: PC=0x000000b8, inst=0x0000006f
Time=2155000: PC=0x000000b8, inst=0x0000006f
Time=2165000: PC=0x000000b8, inst=0x00000013
Time=2175000: PC=0x000000b8, inst=0x0000006f
Time=2185000: PC=0x000000b8, inst=0x0000006f
Time=2195000: PC=0x000000b8, inst=0x00000013
Time=2205000: PC=0x000000b8, inst=0x0000006f
Time=2215000: PC=0x000000b8, inst=0x0000006f
Time=2225000: PC=0x000000b8, inst=0x00000013
Time=2235000: PC=0x000000b8, inst=0x0000006f
Time=2245000: PC=0x000000b8, inst=0x0000006f
Time=2255000: PC=0x000000b8, inst=0x00000013
Time=2265000: PC=0x000000b8, inst=0x0000006f
Time=2275000: PC=0x000000b8, inst=0x0000006f
Time=2285000: PC=0x000000b8, inst=0x00000013
Time=2295000: PC=0x000000b8, inst=0x0000006f
Time=2305000: PC=0x000000b8, inst=0x0000006f
Time=2315000: PC=0x000000b8, inst=0x00000013
Time=2325000: PC=0x000000b8, inst=0x0000006f
Time=2335000: PC=0x000000b8, inst=0x0000006f
Time=2345000: PC=0x000000b8, inst=0x00000013
Time=2355000: PC=0x000000b8, inst=0x0000006f
Time=2365000: PC=0x000000b8, inst=0x0000006f
Time=2375000: PC=0x000000b8, inst=0x00000013
Time=2385000: PC=0x000000b8, inst=0x0000006f
Time=2395000: PC=0x000000b8, inst=0x0000006f
Time=2405000: PC=0x000000b8, inst=0x00000013
Time=2415000: PC=0x000000b8, inst=0x0000006f
Time=2425000: PC=0x000000b8, inst=0x0000006f
Time=2435000: PC=0x000000b8, inst=0x00000013
Time=2445000: PC=0x000000b8, inst=0x0000006f
